iter	Passed	Remaining
0	1	374
1	1	269
2	2	231
3	2	207
4	3	194
5	3	184
6	4	177
7	4	176
8	6	196
9	6	199
10	7	200
11	8	201
12	9	200
13	9	197
14	10	195
15	11	198
16	11	199
17	12	200
18	13	199
19	14	198
20	15	199
21	15	198
22	16	198
23	17	196
24	17	195
25	18	194
26	19	194
27	19	193
28	20	192
29	21	191
30	22	194
31	23	193
32	23	192
33	24	192
34	25	193
35	26	192
36	26	191
37	32	223
38	33	225
39	34	224
40	35	222
41	35	220
42	36	218
43	37	217
44	38	215
45	38	213
46	39	212
47	40	211
48	40	208
49	41	206
50	44	217
51	45	216
52	46	214
53	46	213
54	47	211
55	48	210
56	51	220
57	52	219
58	53	218
59	54	216
60	54	214
61	55	212
62	56	210
63	56	208
64	57	206
65	57	204
66	58	202
67	58	201
68	59	199
69	60	199
70	61	198
71	62	197
72	63	196
73	63	194
74	64	193
75	65	192
76	65	190
77	66	189
78	67	187
79	67	186
80	68	185
81	69	183
82	69	182
83	70	181
84	71	179
85	71	178
86	72	177
87	73	177
88	74	176
89	74	174
90	75	173
91	76	172
92	76	171
93	77	170
94	78	169
95	79	168
96	79	167
97	80	166
98	81	165
99	82	164
100	83	163
101	83	162
102	84	161
103	85	160
104	85	159
105	86	159
106	87	158
107	88	157
108	89	156
109	90	156
110	91	156
111	92	155
112	93	154
113	94	153
114	95	153
115	96	152
116	96	151
117	97	149
118	98	150
119	99	149
120	101	149
121	101	148
122	102	148
123	104	147
124	104	146
125	105	146
126	106	145
127	107	144
128	108	144
129	109	143
130	110	142
131	111	141
132	112	140
133	112	139
134	113	138
135	114	138
136	115	137
137	115	136
138	116	135
139	117	134
140	118	133
141	119	132
142	120	132
143	120	131
144	121	129
145	122	128
146	123	128
147	124	127
148	124	126
149	126	126
150	126	125
151	127	124
152	128	123
153	128	122
154	129	121
155	131	120
156	131	120
157	132	119
158	133	118
159	133	117
160	134	116
161	135	115
162	136	114
163	137	114
164	140	114
165	140	113
166	141	112
167	142	111
168	143	110
169	143	109
170	144	109
171	145	108
172	146	107
173	148	107
174	149	106
175	151	106
176	151	105
177	153	105
178	157	106
179	158	105
180	159	104
181	161	104
182	162	103
183	162	102
184	163	101
185	163	100
186	164	99
187	164	98
188	165	96
189	165	95
190	166	94
191	167	94
192	168	93
193	169	92
194	170	91
195	170	90
196	171	89
197	172	88
198	172	87
199	172	86
200	173	85
201	173	84
202	174	83
203	175	82
204	176	81
205	177	80
206	178	80
207	179	79
208	180	78
209	180	77
210	181	76
211	182	75
212	183	74
213	184	73
214	184	73
215	185	72
216	186	71
217	187	70
218	187	69
219	188	68
220	189	67
221	190	66
222	191	65
223	192	65
224	193	64
225	193	63
226	194	62
227	195	61
228	196	60
229	197	59
230	197	59
231	198	58
232	199	57
233	199	56
234	200	55
235	201	54
236	201	53
237	202	52
238	203	51
239	204	51
240	205	50
241	205	49
242	207	48
243	208	47
244	209	47
245	210	46
246	211	45
247	211	44
248	212	43
249	213	42
250	214	41
251	214	40
252	215	40
253	216	39
254	217	38
255	218	37
256	219	36
257	219	35
258	221	35
259	222	34
260	222	33
261	223	32
262	224	31
263	225	30
264	225	29
265	226	28
266	226	28
267	227	27
268	227	26
269	227	25
270	228	24
271	229	23
272	229	22
273	230	21
274	231	21
275	231	20
276	232	19
277	233	18
278	234	17
279	234	16
280	235	15
281	236	15
282	237	14
283	237	13
284	239	12
285	240	11
286	240	10
287	241	10
288	242	9
289	245	8
290	245	7
291	246	6
292	247	5
293	248	5
294	248	4
295	249	3
296	250	2
297	250	1
298	251	0
299	252	0
